Points:14198, Remaining weight:45, Remaining volume:22
item683, 24, 31, 46
item262, 28, 40, 46
item557, 21, 24, 67
item32, 12, 34, 69
item136, 18, 33, 58
item139, 24, 38, 70
item231, 28, 33, 44
item42, 13, 31, 44
item102, 22, 34, 79
item170, 29, 31, 64
item764, 11, 23, 64
item713, 22, 32, 60
item448, 20, 37, 47
item327, 11, 22, 45
item467, 29, 26, 77
item203, 24, 33, 76
item906, 25, 34, 68
item382, 20, 31, 75
item796, 27, 24, 60
item403, 16, 35, 69
item58, 12, 31, 49
item709, 23, 37, 74
item277, 15, 23, 80
item167, 23, 28, 66
item350, 24, 23, 70
item865, 28, 26, 79
item549, 24, 31, 78
item680, 13, 20, 63
item542, 25, 30, 75
item437, 18, 21, 77
item302, 29, 30, 75
item562, 22, 38, 57
item224, 24, 21, 63
item269, 16, 38, 57
item28, 29, 33, 47
item160, 17, 21, 66
item828, 18, 33, 67
item500, 11, 39, 75
item718, 18, 32, 61
item106, 18, 33, 45
item958, 30, 27, 54
item211, 18, 37, 56
item263, 19, 20, 75
item798, 17, 34, 46
item721, 19, 36, 51
item810, 25, 39, 51
item920, 25, 26, 42
item924, 18, 36, 63
item632, 16, 23, 69
item53, 21, 35, 48
item568, 27, 24, 62
item5, 28, 37, 55
item849, 28, 35, 61
item414, 12, 29, 51
item685, 11, 23, 43
item449, 25, 39, 76
item188, 22, 35, 76
item68, 20, 27, 47
item319, 20, 38, 44
item864, 28, 20, 51
item980, 27, 36, 77
item280, 27, 36, 58
item886, 29, 27, 67
item377, 28, 32, 77
item446, 23, 26, 50
item648, 20, 20, 46
item576, 27, 22, 71
item793, 23, 24, 70
item524, 26, 37, 41
item392, 18, 37, 58
item87, 22, 20, 56
item670, 13, 35, 59
item605, 29, 39, 73
item431, 12, 23, 74
item190, 29, 25, 47
item930, 19, 25, 56
item803, 17, 33, 43
item812, 12, 33, 80
item252, 16, 26, 63
item882, 30, 32, 46
item330, 30, 24, 75
item739, 23, 34, 69
item552, 19, 39, 55
item637, 11, 34, 73
item45, 25, 37, 43
item781, 17, 40, 41
item17, 29, 37, 61
item804, 27, 26, 53
item638, 28, 38, 63
item656, 11, 27, 54
item874, 24, 31, 48
item715, 27, 29, 72
item349, 23, 39, 62
item814, 17, 31, 51
item910, 16, 27, 56
item691, 28, 26, 79
item736, 20, 34, 77
item248, 22, 23, 68
item361, 11, 23, 41
item259, 29, 25, 56
item751, 16, 29, 77
item64, 27, 37, 63
item19, 22, 30, 78
item668, 13, 40, 78
item975, 20, 27, 56
item313, 23, 31, 74
item889, 16, 23, 71
item839, 22, 36, 78
item477, 23, 31, 65
item183, 12, 36, 78
item157, 15, 33, 52
item914, 26, 34, 76
item216, 25, 30, 79
item257, 26, 25, 62
item375, 29, 30, 75
item44, 30, 39, 58
item750, 25, 22, 52
item895, 26, 28, 57
item466, 22, 37, 54
item903, 24, 33, 62
item801, 17, 32, 48
item110, 24, 21, 60
item517, 15, 34, 46
item923, 23, 22, 45
item335, 12, 22, 55
item225, 26, 22, 71
item95, 25, 32, 69
item727, 29, 35, 77
item91, 27, 23, 57
item23, 29, 22, 42
item336, 24, 20, 60
item913, 20, 27, 55
item735, 14, 35, 73
item677, 25, 38, 50
item342, 19, 38, 62
item261, 22, 21, 78
item6, 27, 32, 73
item976, 15, 30, 63
item664, 25, 37, 67
item47, 29, 26, 75
item66, 15, 36, 47
item79, 29, 33, 50
item49, 10, 36, 49
item978, 14, 26, 73
item878, 10, 25, 64
item927, 15, 38, 52
item649, 18, 30, 72
item700, 15, 36, 43
item243, 25, 33, 70
item640, 25, 24, 48
item16, 28, 32, 42
item233, 29, 38, 71
item658, 24, 32, 46
item944, 17, 27, 55
item218, 19, 24, 77
item672, 22, 27, 76
item686, 16, 25, 74
item835, 23, 30, 40
item151, 12, 30, 47
item671, 11, 33, 69
item417, 12, 32, 66
item206, 29, 38, 72
item427, 27, 36, 64
item426, 25, 34, 71
item607, 27, 37, 73
item52, 17, 30, 46
item596, 24, 28, 67
item590, 12, 27, 42
item952, 10, 31, 74
item321, 26, 24, 66
item654, 21, 23, 49
item358, 27, 25, 67
item67, 24, 32, 69
item965, 18, 26, 59
item165, 29, 26, 77
item258, 11, 38, 77
item200, 24, 22, 47
item901, 17, 22, 75
item996, 20, 27, 59
item925, 14, 40, 70
item511, 13, 25, 67
item22, 29, 38, 63
item730, 14, 30, 65
item799, 25, 30, 71
item439, 28, 32, 56
item217, 15, 23, 70
item75, 18, 39, 51
item88, 13, 29, 62
item312, 23, 32, 62
item616, 15, 30, 77
item442, 23, 34, 73
item594, 25, 29, 57
item296, 30, 39, 43
item710, 20, 39, 77
item55, 22, 31, 64
item630, 19, 32, 61
item281, 14, 25, 55
item463, 26, 36, 57
item239, 10, 21, 71
item131, 22, 39, 70
item304, 12, 23, 41
item892, 28, 37, 72
item27, 13, 37, 61
item172, 26, 34, 67
item505, 14, 22, 79
item748, 14, 20, 73
item441, 17, 27, 51
item25, 29, 29, 68
item121, 17, 27, 49
item540, 29, 33, 49
item479, 22, 31, 42
item843, 27, 27, 60
item831, 24, 30, 72
item535, 21, 39, 56
item409, 15, 39, 45
item518, 28, 30, 70
item198, 21, 31, 80
item119, 11, 39, 54
item394, 11, 27, 80
item383, 22, 26, 50
item694, 12, 28, 63
item385, 24, 33, 49
item547, 24, 33, 70
item690, 19, 22, 59
item696, 11, 28, 70
item566, 29, 38, 63
item602, 22, 34, 75
item438, 24, 33, 61
item610, 29, 34, 51
item481, 22, 39, 68
item288, 15, 28, 43
item766, 20, 33, 75
item964, 12, 29, 47
item168, 13, 38, 72
item987, 14, 32, 66
item807, 21, 38, 58
item12, 29, 27, 70
item908, 27, 29, 63
item619, 12, 28, 56
item970, 27, 31, 67
item589, 12, 29, 57
item869, 20, 34, 64
item858, 10, 31, 63
item379, 24, 22, 41
item306, 30, 30, 53
item161, 21, 39, 80
item778, 24, 35, 47
item478, 25, 40, 74
item418, 17, 26, 68
item348, 16, 40, 67
item893, 16, 22, 63
item988, 18, 28, 42
item92, 16, 38, 57
item413, 23, 28, 70
item412, 17, 39, 46
item583, 14, 21, 41
item199, 29, 24, 63
item699, 21, 29, 62
item564, 18, 29, 56
item393, 11, 28, 49
item667, 21, 22, 59
item421, 25, 22, 68
item746, 11, 23, 66
item688, 20, 27, 69
item232, 14, 36, 62
item551, 28, 37, 75
item11, 20, 31, 41
item333, 14, 34, 52
item458, 14, 29, 53
item152, 19, 26, 64
item943, 20, 29, 50
item805, 19, 21, 48
item941, 16, 34, 51
item926, 14, 35, 80
item397, 29, 34, 64
item816, 30, 21, 57
item931, 12, 38, 47
item474, 28, 30, 42
item462, 13, 32, 60
item234, 28, 21, 53
item94, 16, 34, 47
item416, 15, 40, 44
item366, 25, 28, 74
item300, 19, 35, 51
item111, 24, 28, 63
item567, 18, 37, 76
item703, 27, 22, 72
item647, 25, 25, 51
item340, 11, 34, 58
item503, 28, 31, 46
item866, 17, 29, 60
item253, 26, 26, 79
item297, 22, 34, 72
item918, 24, 27, 63
item841, 29, 22, 70
item646, 15, 20, 49
item150, 15, 34, 57
item974, 18, 33, 47
item661, 27, 40, 73
item706, 20, 23, 42
item270, 28, 29, 51
item31, 19, 30, 74
item434, 20, 22, 49
item149, 29, 36, 79
item808, 13, 33, 57
item435, 21, 37, 63
item242, 12, 24, 45
item857, 12, 29, 77
item9, 15, 26, 50
item249, 20, 37, 60
item331, 26, 32, 64
item354, 14, 34, 61
item532, 15, 33, 47
item125, 21, 22, 44
item480, 19, 35, 56
item222, 27, 28, 58
item834, 14, 28, 73
item527, 18, 34, 45
item324, 25, 26, 66
item8, 15, 30, 41
item491, 14, 24, 71
item226, 11, 26, 68
item405, 20, 40, 59
item238, 20, 30, 54
item492, 14, 38, 67
item698, 29, 25, 76
item577, 13, 40, 67
item674, 19, 27, 50
item464, 24, 29, 47
item853, 20, 28, 42
item181, 10, 35, 74
item369, 24, 37, 66
item406, 27, 24, 63
item129, 29, 37, 72
item169, 30, 40, 57
item861, 14, 40, 71
item623, 24, 27, 60
item93, 12, 27, 41
item338, 13, 29, 51
item489, 11, 37, 49
item255, 19, 23, 49
item60, 28, 21, 74
item526, 17, 22, 61
item756, 20, 38, 49
item650, 20, 22, 78
item195, 18, 24, 78
item747, 17, 39, 78
item682, 25, 34, 47
item957, 21, 34, 74
item601, 24, 28, 40
item621, 18, 28, 45
item407, 11, 24, 70
item184, 11, 28, 77
item254, 16, 35, 41
item485, 14, 40, 48
item794, 20, 30, 52
item528, 26, 30, 65
item932, 27, 24, 41
item459, 29, 36, 74
item633, 13, 28, 69
item247, 25, 24, 56
item425, 26, 21, 61
item177, 27, 38, 48
item986, 11, 20, 66
item693, 23, 22, 73
item365, 24, 27, 80
item872, 12, 35, 65
item587, 21, 32, 71
item896, 19, 26, 72
item639, 23, 27, 47
item722, 30, 23, 67
item115, 19, 31, 45
item572, 28, 40, 46
item37, 22, 40, 61
item357, 17, 21, 73
item283, 21, 33, 63
item420, 28, 35, 76
item156, 16, 20, 43
item351, 19, 25, 45
item512, 26, 21, 48
item341, 14, 25, 76
item293, 24, 28, 57
item370, 13, 27, 71
item636, 21, 37, 50
item651, 12, 32, 67
item990, 27, 32, 65
item360, 30, 22, 71
item662, 19, 26, 52
item951, 21, 21, 41
item34, 22, 32, 59
item279, 29, 29, 45
item626, 15, 39, 44
item108, 28, 30, 71
item939, 25, 34, 44
item871, 23, 28, 65
item97, 19, 36, 47
item592, 27, 34, 69
item624, 16, 20, 59
item902, 26, 31, 49
item461, 16, 23, 65
item104, 17, 27, 76
item260, 21, 20, 54
item701, 12, 37, 46
item10, 17, 21, 41
item772, 12, 38, 72
item197, 29, 34, 40
item65, 22, 28, 42
item559, 19, 29, 54
item51, 28, 29, 63
item659, 21, 29, 73
item378, 14, 30, 70
item384, 27, 38, 41
item771, 16, 38, 49
item823, 20, 23, 42
item543, 17, 21, 48
item7, 23, 29, 66
item663, 12, 37, 75
item346, 24, 28, 80
item278, 22, 39, 48
item538, 18, 32, 49
item486, 14, 24, 62
item246, 14, 22, 51
item408, 22, 21, 60
item598, 17, 28, 56
item999, 14, 25, 42
item130, 25, 22, 65
item856, 12, 36, 66
item773, 28, 33, 41
item250, 19, 38, 79
item4, 19, 25, 75
item687, 24, 22, 69
item496, 11, 32, 48
item194, 12, 27, 45
item244, 21, 31, 75
item981, 24, 20, 66
item582, 25, 37, 74
item875, 30, 25, 49
item749, 25, 40, 78
item571, 18, 29, 55
item740, 14, 35, 59
item595, 15, 27, 54
item753, 27, 29, 66
item963, 28, 32, 69
item745, 23, 27, 75
item395, 27, 38, 55
item569, 29, 31, 61
item347, 27, 23, 74
item315, 25, 36, 62
item445, 21, 37, 61
item82, 16, 35, 75
item606, 29, 38, 42
item550, 19, 23, 50
item770, 20, 29, 72
item634, 11, 28, 49
item320, 11, 39, 70
item212, 12, 21, 62
item585, 12, 28, 80
item402, 22, 39, 49
item128, 20, 25, 76
item697, 15, 33, 52
item977, 25, 23, 52
item187, 28, 29, 60
item818, 24, 35, 54
item565, 25, 25, 80
item454, 23, 34, 63
item593, 28, 24, 42
item960, 22, 20, 62
item471, 25, 35, 77
item707, 18, 24, 66
item959, 15, 28, 55
item235, 11, 24, 55
item734, 14, 38, 45
item122, 24, 35, 56
item620, 26, 27, 58
item178, 18, 26, 76
item3, 12, 40, 65
item15, 25, 27, 41
item398, 15, 38, 72
item59, 15, 22, 71
item824, 21, 35, 42
item738, 25, 29, 55
item795, 17, 34, 75
item186, 19, 35, 53
item137, 16, 29, 65
item921, 24, 35, 66
item103, 19, 28, 73
item625, 27, 33, 79
item719, 22, 38, 53
item782, 17, 38, 47
item899, 19, 31, 59
item433, 23, 21, 55
item888, 18, 28, 46
item35, 12, 25, 75
item737, 28, 22, 56
item135, 19, 35, 77
item465, 26, 33, 43
item78, 28, 29, 56
item287, 24, 37, 46
item153, 20, 37, 64
item2, 15, 26, 63
item70, 24, 25, 59
item432, 15, 22, 65
item507, 30, 26, 77
item497, 11, 21, 69
item884, 14, 40, 52
item105, 30, 31, 40
item48, 29, 36, 66
item555, 23, 36, 78
item86, 12, 30, 43
item887, 11, 27, 63
item276, 22, 33, 41
item332, 23, 27, 50
item202, 17, 25, 59
item72, 29, 30, 69
item993, 19, 38, 79
item101, 24, 28, 41
item390, 11, 22, 77
item345, 29, 28, 55
item522, 30, 25, 52
item196, 21, 31, 66
item314, 24, 31, 41
item18, 28, 33, 46
item942, 28, 27, 58
item758, 13, 32, 42
item468, 29, 39, 78
item790, 12, 26, 65
item652, 23, 36, 60
item600, 22, 33, 57
item506, 22, 29, 76
item14, 22, 20, 59
item89, 19, 23, 44
item162, 23, 36, 73
item556, 24, 25, 46
item948, 19, 33, 55
item876, 28, 39, 54
item837, 23, 20, 75
item728, 18, 31, 53
item501, 22, 32, 69
item827, 16, 26, 44
item561, 19, 36, 64
item525, 21, 30, 60
item112, 26, 37, 57
item328, 19, 26, 69
item13, 10, 31, 64
item158, 23, 23, 48
item936, 16, 33, 54
item789, 28, 29, 76
item763, 23, 31, 59
item983, 27, 23, 77
item573, 20, 26, 79
item20, 23, 29, 50
item660, 27, 26, 69
item63, 22, 22, 43
item498, 17, 35, 54
item191, 30, 39, 76
item581, 17, 27, 76
item716, 23, 24, 79
item822, 28, 39, 75
item411, 29, 33, 42
item73, 23, 27, 70
item391, 25, 38, 73
item322, 29, 24, 61
item368, 25, 26, 60
item24, 10, 32, 46
item704, 24, 35, 65
item275, 19, 34, 70
item74, 26, 30, 53
item298, 24, 29, 41
item475, 17, 31, 68
item732, 26, 28, 66
item609, 17, 33, 74
item945, 23, 40, 44
item949, 18, 29, 57
item580, 23, 29, 78
item99, 18, 33, 73
item588, 22, 24, 78
item628, 19, 26, 40
item220, 15, 26, 44
item124, 14, 24, 64
item230, 22, 25, 78
item947, 12, 24, 51
item450, 15, 35, 57
item344, 14, 25, 61
